full_date,year,month,day,hour,weekday,date_id
2017-01-03 03:00:00,2017,January,3,3,Tuesday,52
2017-01-03 04:00:00,2017,January,3,4,Tuesday,53
2017-01-03 05:00:00,2017,January,3,5,Tuesday,54
2017-01-03 06:00:00,2017,January,3,6,Tuesday,55
2017-01-03 07:00:00,2017,January,3,7,Tuesday,56
2017-01-03 08:00:00,2017,January,3,8,Tuesday,57
2017-01-03 09:00:00,2017,January,3,9,Tuesday,58
2017-01-03 10:00:00,2017,January,3,10,Tuesday,59
2017-01-03 11:00:00,2017,January,3,11,Tuesday,60
2017-01-03 12:00:00,2017,January,3,12,Tuesday,61
2017-01-03 13:00:00,2017,January,3,13,Tuesday,62
2017-01-03 14:00:00,2017,January,3,14,Tuesday,63
2017-01-03 15:00:00,2017,January,3,15,Tuesday,64
2017-01-03 16:00:00,2017,January,3,16,Tuesday,65
2017-01-03 17:00:00,2017,January,3,17,Tuesday,66
2017-01-03 18:00:00,2017,January,3,18,Tuesday,67
2017-01-03 19:00:00,2017,January,3,19,Tuesday,68
2017-01-03 20:00:00,2017,January,3,20,Tuesday,69
2017-01-03 21:00:00,2017,January,3,21,Tuesday,70
2017-01-03 22:00:00,2017,January,3,22,Tuesday,71
2017-01-03 23:00:00,2017,January,3,23,Tuesday,72
2017-01-04 00:00:00,2017,January,4,0,Wednesday,73
2017-01-04 01:00:00,2017,January,4,1,Wednesday,74
2017-01-04 02:00:00,2017,January,4,2,Wednesday,75
2017-01-04 03:00:00,2017,January,4,3,Wednesday,76
2017-01-04 04:00:00,2017,January,4,4,Wednesday,77
2017-01-04 05:00:00,2017,January,4,5,Wednesday,78
2017-01-04 06:00:00,2017,January,4,6,Wednesday,79
2017-01-04 07:00:00,2017,January,4,7,Wednesday,80
2017-01-04 08:00:00,2017,January,4,8,Wednesday,81
2017-01-04 09:00:00,2017,January,4,9,Wednesday,82
2017-01-04 10:00:00,2017,January,4,10,Wednesday,83
2017-01-04 11:00:00,2017,January,4,11,Wednesday,84
2017-01-04 12:00:00,2017,January,4,12,Wednesday,85
2017-01-04 13:00:00,2017,January,4,13,Wednesday,86
2017-01-04 14:00:00,2017,January,4,14,Wednesday,87
2017-01-04 15:00:00,2017,January,4,15,Wednesday,88
2017-01-04 16:00:00,2017,January,4,16,Wednesday,89
2017-01-04 17:00:00,2017,January,4,17,Wednesday,90
2017-01-04 18:00:00,2017,January,4,18,Wednesday,91
2017-01-04 19:00:00,2017,January,4,19,Wednesday,92
2017-01-04 20:00:00,2017,January,4,20,Wednesday,93
2017-01-04 21:00:00,2017,January,4,21,Wednesday,94
2017-01-04 22:00:00,2017,January,4,22,Wednesday,95
2017-01-04 23:00:00,2017,January,4,23,Wednesday,96
2017-01-05 00:00:00,2017,January,5,0,Thursday,97
2017-01-05 01:00:00,2017,January,5,1,Thursday,98
2017-01-05 02:00:00,2017,January,5,2,Thursday,99
2017-01-05 03:00:00,2017,January,5,3,Thursday,100
2017-01-05 04:00:00,2017,January,5,4,Thursday,101
2017-01-05 05:00:00,2017,January,5,5,Thursday,102
2017-01-05 06:00:00,2017,January,5,6,Thursday,103
2017-01-05 07:00:00,2017,January,5,7,Thursday,104
2017-01-05 08:00:00,2017,January,5,8,Thursday,105
2017-01-05 09:00:00,2017,January,5,9,Thursday,106
2017-01-05 10:00:00,2017,January,5,10,Thursday,107
2017-01-05 11:00:00,2017,January,5,11,Thursday,108
2017-01-05 12:00:00,2017,January,5,12,Thursday,109
2017-01-05 13:00:00,2017,January,5,13,Thursday,110
2017-01-05 14:00:00,2017,January,5,14,Thursday,111
2017-01-05 15:00:00,2017,January,5,15,Thursday,112
2017-01-05 16:00:00,2017,January,5,16,Thursday,113
2017-01-05 17:00:00,2017,January,5,17,Thursday,114
2017-01-05 18:00:00,2017,January,5,18,Thursday,115
2017-01-05 19:00:00,2017,January,5,19,Thursday,116
2017-01-05 20:00:00,2017,January,5,20,Thursday,117
2017-01-05 21:00:00,2017,January,5,21,Thursday,118
2017-01-05 22:00:00,2017,January,5,22,Thursday,119
2017-01-05 23:00:00,2017,January,5,23,Thursday,120
2017-01-06 00:00:00,2017,January,6,0,Friday,121
2017-01-06 01:00:00,2017,January,6,1,Friday,122
2017-01-06 02:00:00,2017,January,6,2,Friday,123
2017-01-06 03:00:00,2017,January,6,3,Friday,124
2017-01-06 04:00:00,2017,January,6,4,Friday,125
2017-01-06 05:00:00,2017,January,6,5,Friday,126
2017-01-06 06:00:00,2017,January,6,6,Friday,127
2017-01-06 07:00:00,2017,January,6,7,Friday,128
2017-01-06 08:00:00,2017,January,6,8,Friday,129
2017-01-06 09:00:00,2017,January,6,9,Friday,130
2017-01-06 10:00:00,2017,January,6,10,Friday,131
2017-01-06 11:00:00,2017,January,6,11,Friday,132
2017-01-06 12:00:00,2017,January,6,12,Friday,133
2017-01-06 13:00:00,2017,January,6,13,Friday,134
2017-01-06 14:00:00,2017,January,6,14,Friday,135
2017-01-06 15:00:00,2017,January,6,15,Friday,136
2017-01-06 16:00:00,2017,January,6,16,Friday,137
2017-01-06 17:00:00,2017,January,6,17,Friday,138
2017-01-06 18:00:00,2017,January,6,18,Friday,139
2017-01-06 19:00:00,2017,January,6,19,Friday,140
2017-01-06 20:00:00,2017,January,6,20,Friday,141
2017-01-06 21:00:00,2017,January,6,21,Friday,142
2017-01-06 22:00:00,2017,January,6,22,Friday,143
2017-01-06 23:00:00,2017,January,6,23,Friday,144
2017-01-07 00:00:00,2017,January,7,0,Saturday,145
2017-01-07 01:00:00,2017,January,7,1,Saturday,146
2017-01-07 02:00:00,2017,January,7,2,Saturday,147
2017-01-07 03:00:00,2017,January,7,3,Saturday,148
2017-01-07 04:00:00,2017,January,7,4,Saturday,149
2017-01-07 05:00:00,2017,January,7,5,Saturday,150
2017-01-07 06:00:00,2017,January,7,6,Saturday,151
2017-01-07 07:00:00,2017,January,7,7,Saturday,152
2017-01-07 08:00:00,2017,January,7,8,Saturday,153
2017-01-07 09:00:00,2017,January,7,9,Saturday,154
2017-01-07 10:00:00,2017,January,7,10,Saturday,155
2017-01-07 11:00:00,2017,January,7,11,Saturday,156
2017-01-07 12:00:00,2017,January,7,12,Saturday,157
2017-01-07 13:00:00,2017,January,7,13,Saturday,158
2017-01-07 14:00:00,2017,January,7,14,Saturday,159
2017-01-07 15:00:00,2017,January,7,15,Saturday,160
2017-01-07 16:00:00,2017,January,7,16,Saturday,161
2017-01-07 17:00:00,2017,January,7,17,Saturday,162
2017-01-07 18:00:00,2017,January,7,18,Saturday,163
2017-01-07 19:00:00,2017,January,7,19,Saturday,164
2017-01-07 20:00:00,2017,January,7,20,Saturday,165
2017-01-07 21:00:00,2017,January,7,21,Saturday,166
2017-01-07 22:00:00,2017,January,7,22,Saturday,167
2017-01-07 23:00:00,2017,January,7,23,Saturday,168
2017-01-08 00:00:00,2017,January,8,0,Sunday,169
2017-01-08 01:00:00,2017,January,8,1,Sunday,170
2017-01-08 02:00:00,2017,January,8,2,Sunday,171
2017-01-08 03:00:00,2017,January,8,3,Sunday,172
2017-01-08 04:00:00,2017,January,8,4,Sunday,173
2017-01-08 05:00:00,2017,January,8,5,Sunday,174
2017-01-08 06:00:00,2017,January,8,6,Sunday,175
2017-01-08 07:00:00,2017,January,8,7,Sunday,176
2017-01-08 08:00:00,2017,January,8,8,Sunday,177
2017-01-08 09:00:00,2017,January,8,9,Sunday,178
2017-01-08 10:00:00,2017,January,8,10,Sunday,179
2017-01-08 11:00:00,2017,January,8,11,Sunday,180
2017-01-08 12:00:00,2017,January,8,12,Sunday,181
2017-01-08 13:00:00,2017,January,8,13,Sunday,182
2017-01-08 14:00:00,2017,January,8,14,Sunday,183
2017-01-08 15:00:00,2017,January,8,15,Sunday,184
2017-01-08 16:00:00,2017,January,8,16,Sunday,185
2017-01-08 17:00:00,2017,January,8,17,Sunday,186
2017-01-08 18:00:00,2017,January,8,18,Sunday,187
2017-01-08 19:00:00,2017,January,8,19,Sunday,188
2017-01-08 20:00:00,2017,January,8,20,Sunday,189
2017-01-08 21:00:00,2017,January,8,21,Sunday,190
2017-01-08 22:00:00,2017,January,8,22,Sunday,191
2017-01-08 23:00:00,2017,January,8,23,Sunday,192
2017-01-09 00:00:00,2017,January,9,0,Monday,193
2017-01-09 01:00:00,2017,January,9,1,Monday,194
2017-01-09 03:00:00,2017,January,9,3,Monday,195
2017-01-09 04:00:00,2017,January,9,4,Monday,196
2017-01-09 05:00:00,2017,January,9,5,Monday,197
2017-01-09 06:00:00,2017,January,9,6,Monday,198
2017-01-09 07:00:00,2017,January,9,7,Monday,199
2017-01-09 08:00:00,2017,January,9,8,Monday,200
2017-01-09 09:00:00,2017,January,9,9,Monday,201
2017-01-09 10:00:00,2017,January,9,10,Monday,202
2017-01-09 11:00:00,2017,January,9,11,Monday,203
2017-01-09 12:00:00,2017,January,9,12,Monday,204
2017-01-09 13:00:00,2017,January,9,13,Monday,205
2017-01-09 14:00:00,2017,January,9,14,Monday,206
2017-01-09 15:00:00,2017,January,9,15,Monday,207
2017-01-09 16:00:00,2017,January,9,16,Monday,208
2017-01-09 17:00:00,2017,January,9,17,Monday,209
2017-01-09 18:00:00,2017,January,9,18,Monday,210
2017-01-09 19:00:00,2017,January,9,19,Monday,211
2017-01-09 20:00:00,2017,January,9,20,Monday,212
2017-01-09 21:00:00,2017,January,9,21,Monday,213
2017-01-09 22:00:00,2017,January,9,22,Monday,214
2017-01-09 23:00:00,2017,January,9,23,Monday,215
2017-01-10 00:00:00,2017,January,10,0,Tuesday,216
2017-01-10 01:00:00,2017,January,10,1,Tuesday,217
2017-01-10 04:00:00,2017,January,10,4,Tuesday,218
2017-01-10 05:00:00,2017,January,10,5,Tuesday,219
2017-01-10 06:00:00,2017,January,10,6,Tuesday,220
2017-01-10 07:00:00,2017,January,10,7,Tuesday,221
2017-01-10 08:00:00,2017,January,10,8,Tuesday,222
2017-01-10 09:00:00,2017,January,10,9,Tuesday,223
2017-01-10 10:00:00,2017,January,10,10,Tuesday,224
2017-01-10 11:00:00,2017,January,10,11,Tuesday,225
2017-01-10 12:00:00,2017,January,10,12,Tuesday,226
2017-01-10 13:00:00,2017,January,10,13,Tuesday,227
2017-01-10 14:00:00,2017,January,10,14,Tuesday,228
2017-01-10 15:00:00,2017,January,10,15,Tuesday,229
2017-01-10 16:00:00,2017,January,10,16,Tuesday,230
2017-01-10 17:00:00,2017,January,10,17,Tuesday,231
2017-01-10 18:00:00,2017,January,10,18,Tuesday,232
2017-01-10 19:00:00,2017,January,10,19,Tuesday,233
2017-01-10 20:00:00,2017,January,10,20,Tuesday,234
2017-01-10 21:00:00,2017,January,10,21,Tuesday,235
2017-01-10 22:00:00,2017,January,10,22,Tuesday,236
2017-01-10 23:00:00,2017,January,10,23,Tuesday,237
2017-01-11 00:00:00,2017,January,11,0,Wednesday,238
2017-01-11 01:00:00,2017,January,11,1,Wednesday,239
2017-01-11 03:00:00,2017,January,11,3,Wednesday,240
2017-01-11 04:00:00,2017,January,11,4,Wednesday,241
2017-01-11 05:00:00,2017,January,11,5,Wednesday,242
2017-01-11 06:00:00,2017,January,11,6,Wednesday,243
2017-01-11 07:00:00,2017,January,11,7,Wednesday,244
2017-01-11 08:00:00,2017,January,11,8,Wednesday,245
2017-01-11 09:00:00,2017,January,11,9,Wednesday,246
2017-01-11 10:00:00,2017,January,11,10,Wednesday,247
2017-01-11 11:00:00,2017,January,11,11,Wednesday,248
2017-01-11 12:00:00,2017,January,11,12,Wednesday,249
2017-01-11 13:00:00,2017,January,11,13,Wednesday,250
2017-01-11 14:00:00,2017,January,11,14,Wednesday,251
2017-01-11 15:00:00,2017,January,11,15,Wednesday,252
2017-01-11 16:00:00,2017,January,11,16,Wednesday,253
2017-01-11 17:00:00,2017,January,11,17,Wednesday,254
2017-01-11 18:00:00,2017,January,11,18,Wednesday,255
2017-01-11 19:00:00,2017,January,11,19,Wednesday,256
2017-01-11 20:00:00,2017,January,11,20,Wednesday,257
2017-01-11 21:00:00,2017,January,11,21,Wednesday,258
2017-01-11 22:00:00,2017,January,11,22,Wednesday,259
2017-01-11 23:00:00,2017,January,11,23,Wednesday,260
2017-01-12 00:00:00,2017,January,12,0,Thursday,261
2017-01-12 01:00:00,2017,January,12,1,Thursday,262
2017-01-12 03:00:00,2017,January,12,3,Thursday,263
2017-01-12 04:00:00,2017,January,12,4,Thursday,264
2017-01-12 05:00:00,2017,January,12,5,Thursday,265
2017-01-12 06:00:00,2017,January,12,6,Thursday,266
2017-01-12 07:00:00,2017,January,12,7,Thursday,267
2017-01-12 08:00:00,2017,January,12,8,Thursday,268
2017-01-12 09:00:00,2017,January,12,9,Thursday,269
2017-01-12 10:00:00,2017,January,12,10,Thursday,270
2017-01-12 11:00:00,2017,January,12,11,Thursday,271
2017-01-12 12:00:00,2017,January,12,12,Thursday,272
2017-01-12 13:00:00,2017,January,12,13,Thursday,273
2017-01-12 14:00:00,2017,January,12,14,Thursday,274
2017-01-12 15:00:00,2017,January,12,15,Thursday,275
2017-01-12 16:00:00,2017,January,12,16,Thursday,276
2017-01-12 17:00:00,2017,January,12,17,Thursday,277
2017-01-12 18:00:00,2017,January,12,18,Thursday,278
2017-01-12 19:00:00,2017,January,12,19,Thursday,279
2017-01-12 20:00:00,2017,January,12,20,Thursday,280
2017-01-12 21:00:00,2017,January,12,21,Thursday,281
2017-01-12 22:00:00,2017,January,12,22,Thursday,282
2017-01-12 23:00:00,2017,January,12,23,Thursday,283
2017-01-13 00:00:00,2017,January,13,0,Friday,284
2017-01-13 01:00:00,2017,January,13,1,Friday,285
2017-01-13 02:00:00,2017,January,13,2,Friday,286
2017-01-13 03:00:00,2017,January,13,3,Friday,287
2017-01-13 04:00:00,2017,January,13,4,Friday,288
2017-01-13 05:00:00,2017,January,13,5,Friday,289
2017-01-13 06:00:00,2017,January,13,6,Friday,290
2017-01-13 07:00:00,2017,January,13,7,Friday,291
2017-01-13 08:00:00,2017,January,13,8,Friday,292
2017-01-13 09:00:00,2017,January,13,9,Friday,293
2017-01-13 10:00:00,2017,January,13,10,Friday,294
2017-01-13 11:00:00,2017,January,13,11,Friday,295
2017-01-13 12:00:00,2017,January,13,12,Friday,296
2017-01-13 13:00:00,2017,January,13,13,Friday,297
2017-01-13 14:00:00,2017,January,13,14,Friday,298
2017-01-13 15:00:00,2017,January,13,15,Friday,299
2017-01-13 16:00:00,2017,January,13,16,Friday,300
2017-01-13 17:00:00,2017,January,13,17,Friday,301
2017-01-13 18:00:00,2017,January,13,18,Friday,302
2017-01-13 19:00:00,2017,January,13,19,Friday,303
2017-01-13 20:00:00,2017,January,13,20,Friday,304
2017-01-13 21:00:00,2017,January,13,21,Friday,305
2017-01-13 22:00:00,2017,January,13,22,Friday,306
2017-01-13 23:00:00,2017,January,13,23,Friday,307
2017-01-14 00:00:00,2017,January,14,0,Saturday,308
2017-01-14 01:00:00,2017,January,14,1,Saturday,309
2017-01-14 02:00:00,2017,January,14,2,Saturday,310
2017-01-14 03:00:00,2017,January,14,3,Saturday,311
2017-01-14 04:00:00,2017,January,14,4,Saturday,312
2017-01-14 05:00:00,2017,January,14,5,Saturday,313
2017-01-14 06:00:00,2017,January,14,6,Saturday,314
2017-01-14 07:00:00,2017,January,14,7,Saturday,315
2017-01-14 08:00:00,2017,January,14,8,Saturday,316
2017-01-14 09:00:00,2017,January,14,9,Saturday,317
2017-01-14 10:00:00,2017,January,14,10,Saturday,318
2017-01-14 11:00:00,2017,January,14,11,Saturday,319
2017-01-14 12:00:00,2017,January,14,12,Saturday,320
2017-01-14 13:00:00,2017,January,14,13,Saturday,321
2017-01-14 14:00:00,2017,January,14,14,Saturday,322
2017-01-14 15:00:00,2017,January,14,15,Saturday,323
2017-01-14 16:00:00,2017,January,14,16,Saturday,324
2017-01-14 17:00:00,2017,January,14,17,Saturday,325
2017-01-14 18:00:00,2017,January,14,18,Saturday,326
2017-01-14 19:00:00,2017,January,14,19,Saturday,327
2017-01-14 20:00:00,2017,January,14,20,Saturday,328
2017-01-14 21:00:00,2017,January,14,21,Saturday,329
2017-01-14 22:00:00,2017,January,14,22,Saturday,330
2017-01-14 23:00:00,2017,January,14,23,Saturday,331
2017-01-15 00:00:00,2017,January,15,0,Sunday,332
2017-01-15 01:00:00,2017,January,15,1,Sunday,333
2017-01-15 02:00:00,2017,January,15,2,Sunday,334
2017-01-15 03:00:00,2017,January,15,3,Sunday,335
2017-01-15 04:00:00,2017,January,15,4,Sunday,336
2017-01-15 05:00:00,2017,January,15,5,Sunday,337
2017-01-15 06:00:00,2017,January,15,6,Sunday,338
2017-01-15 07:00:00,2017,January,15,7,Sunday,339
2017-01-15 08:00:00,2017,January,15,8,Sunday,340
2017-01-15 09:00:00,2017,January,15,9,Sunday,341
2017-01-15 10:00:00,2017,January,15,10,Sunday,342
2017-01-15 11:00:00,2017,January,15,11,Sunday,343
2017-01-15 12:00:00,2017,January,15,12,Sunday,344
2017-01-15 13:00:00,2017,January,15,13,Sunday,345
2017-01-15 14:00:00,2017,January,15,14,Sunday,346
2017-01-15 15:00:00,2017,January,15,15,Sunday,347
2017-01-15 16:00:00,2017,January,15,16,Sunday,348
2017-01-15 17:00:00,2017,January,15,17,Sunday,349
2017-01-15 18:00:00,2017,January,15,18,Sunday,350
2017-01-15 19:00:00,2017,January,15,19,Sunday,351
2017-01-15 20:00:00,2017,January,15,20,Sunday,352
2017-01-15 21:00:00,2017,January,15,21,Sunday,353
2017-01-15 22:00:00,2017,January,15,22,Sunday,354
2017-01-15 23:00:00,2017,January,15,23,Sunday,355
2017-01-16 00:00:00,2017,January,16,0,Monday,356
2017-01-16 01:00:00,2017,January,16,1,Monday,357
2017-01-16 02:00:00,2017,January,16,2,Monday,358
2017-01-16 03:00:00,2017,January,16,3,Monday,359
2017-01-16 04:00:00,2017,January,16,4,Monday,360
2017-01-16 05:00:00,2017,January,16,5,Monday,361
2017-01-16 06:00:00,2017,January,16,6,Monday,362
2017-01-16 07:00:00,2017,January,16,7,Monday,363
2017-01-16 08:00:00,2017,January,16,8,Monday,364
2017-01-16 09:00:00,2017,January,16,9,Monday,365
2017-01-16 10:00:00,2017,January,16,10,Monday,366
2017-01-16 11:00:00,2017,January,16,11,Monday,367
2017-01-16 12:00:00,2017,January,16,12,Monday,368
2017-01-16 13:00:00,2017,January,16,13,Monday,369
2017-01-16 14:00:00,2017,January,16,14,Monday,370
2017-01-16 15:00:00,2017,January,16,15,Monday,371
2017-01-16 16:00:00,2017,January,16,16,Monday,372
2017-01-16 17:00:00,2017,January,16,17,Monday,373
2017-01-16 18:00:00,2017,January,16,18,Monday,374
2017-01-16 19:00:00,2017,January,16,19,Monday,375
2017-01-16 20:00:00,2017,January,16,20,Monday,376
2017-01-16 21:00:00,2017,January,16,21,Monday,377
2017-01-16 22:00:00,2017,January,16,22,Monday,378
2017-01-16 23:00:00,2017,January,16,23,Monday,379
2017-01-17 00:00:00,2017,January,17,0,Tuesday,380
2017-01-17 01:00:00,2017,January,17,1,Tuesday,381
2017-01-17 02:00:00,2017,January,17,2,Tuesday,382
2017-01-17 03:00:00,2017,January,17,3,Tuesday,383
2017-01-17 04:00:00,2017,January,17,4,Tuesday,384
2017-01-17 05:00:00,2017,January,17,5,Tuesday,385
2017-01-17 06:00:00,2017,January,17,6,Tuesday,386
2017-01-17 07:00:00,2017,January,17,7,Tuesday,387
2017-01-17 08:00:00,2017,January,17,8,Tuesday,388
2017-01-17 09:00:00,2017,January,17,9,Tuesday,389
2017-01-17 10:00:00,2017,January,17,10,Tuesday,390
2017-01-17 11:00:00,2017,January,17,11,Tuesday,391
2017-01-17 12:00:00,2017,January,17,12,Tuesday,392
2017-01-17 13:00:00,2017,January,17,13,Tuesday,393
2017-01-17 14:00:00,2017,January,17,14,Tuesday,394
2017-01-17 15:00:00,2017,January,17,15,Tuesday,395
2017-01-17 16:00:00,2017,January,17,16,Tuesday,396
2017-01-17 17:00:00,2017,January,17,17,Tuesday,397
2017-01-17 18:00:00,2017,January,17,18,Tuesday,398
2017-01-17 19:00:00,2017,January,17,19,Tuesday,399
2017-01-17 20:00:00,2017,January,17,20,Tuesday,400
2017-01-17 21:00:00,2017,January,17,21,Tuesday,401
2017-01-17 22:00:00,2017,January,17,22,Tuesday,402
2017-01-17 23:00:00,2017,January,17,23,Tuesday,403
2017-01-18 00:00:00,2017,January,18,0,Wednesday,404
2017-01-18 01:00:00,2017,January,18,1,Wednesday,405
2017-01-18 02:00:00,2017,January,18,2,Wednesday,406
2017-01-18 03:00:00,2017,January,18,3,Wednesday,407
2017-01-18 04:00:00,2017,January,18,4,Wednesday,408
2017-01-18 05:00:00,2017,January,18,5,Wednesday,409
2017-01-18 06:00:00,2017,January,18,6,Wednesday,410
2017-01-18 07:00:00,2017,January,18,7,Wednesday,411
2017-01-18 08:00:00,2017,January,18,8,Wednesday,412
2017-01-18 09:00:00,2017,January,18,9,Wednesday,413
2017-01-18 10:00:00,2017,January,18,10,Wednesday,414
2017-01-18 11:00:00,2017,January,18,11,Wednesday,415
2017-01-18 12:00:00,2017,January,18,12,Wednesday,416
2017-01-18 13:00:00,2017,January,18,13,Wednesday,417
2017-01-18 14:00:00,2017,January,18,14,Wednesday,418
2017-01-18 15:00:00,2017,January,18,15,Wednesday,419
2017-01-18 16:00:00,2017,January,18,16,Wednesday,420
2017-01-18 17:00:00,2017,January,18,17,Wednesday,421
2017-01-18 18:00:00,2017,January,18,18,Wednesday,422
2017-01-18 19:00:00,2017,January,18,19,Wednesday,423
2017-01-18 20:00:00,2017,January,18,20,Wednesday,424
2017-01-18 21:00:00,2017,January,18,21,Wednesday,425
2017-01-18 22:00:00,2017,January,18,22,Wednesday,426
2017-01-18 23:00:00,2017,January,18,23,Wednesday,427
2017-01-19 00:00:00,2017,January,19,0,Thursday,428
2017-01-19 01:00:00,2017,January,19,1,Thursday,429
2017-01-19 02:00:00,2017,January,19,2,Thursday,430
2017-01-19 03:00:00,2017,January,19,3,Thursday,431
2017-01-19 04:00:00,2017,January,19,4,Thursday,432
2017-01-19 05:00:00,2017,January,19,5,Thursday,433
2017-01-19 06:00:00,2017,January,19,6,Thursday,434
2017-01-19 07:00:00,2017,January,19,7,Thursday,435
2017-01-19 08:00:00,2017,January,19,8,Thursday,436
2017-01-19 09:00:00,2017,January,19,9,Thursday,437
2017-01-19 10:00:00,2017,January,19,10,Thursday,438
2017-01-19 11:00:00,2017,January,19,11,Thursday,439
2017-01-19 12:00:00,2017,January,19,12,Thursday,440
2017-01-19 13:00:00,2017,January,19,13,Thursday,441
2017-01-19 14:00:00,2017,January,19,14,Thursday,442
2017-01-19 15:00:00,2017,January,19,15,Thursday,443
2017-01-19 16:00:00,2017,January,19,16,Thursday,444
2017-01-19 17:00:00,2017,January,19,17,Thursday,445
2017-01-19 18:00:00,2017,January,19,18,Thursday,446
2017-01-19 19:00:00,2017,January,19,19,Thursday,447
2017-01-19 20:00:00,2017,January,19,20,Thursday,448
2017-01-19 21:00:00,2017,January,19,21,Thursday,449
2017-01-19 22:00:00,2017,January,19,22,Thursday,450
2017-01-19 23:00:00,2017,January,19,23,Thursday,451
2017-01-20 00:00:00,2017,January,20,0,Friday,452
2017-01-20 01:00:00,2017,January,20,1,Friday,453
2017-01-20 02:00:00,2017,January,20,2,Friday,454
2017-01-20 03:00:00,2017,January,20,3,Friday,455
2017-01-20 04:00:00,2017,January,20,4,Friday,456
2017-01-20 05:00:00,2017,January,20,5,Friday,457
2017-01-20 06:00:00,2017,January,20,6,Friday,458
2017-01-20 07:00:00,2017,January,20,7,Friday,459
2017-01-20 08:00:00,2017,January,20,8,Friday,460
2017-01-20 09:00:00,2017,January,20,9,Friday,461
2017-01-20 10:00:00,2017,January,20,10,Friday,462
2017-01-20 11:00:00,2017,January,20,11,Friday,463
2017-01-20 12:00:00,2017,January,20,12,Friday,464
2017-01-20 13:00:00,2017,January,20,13,Friday,465
2017-01-20 14:00:00,2017,January,20,14,Friday,466
2017-01-20 15:00:00,2017,January,20,15,Friday,467
2017-01-20 16:00:00,2017,January,20,16,Friday,468
2017-01-20 17:00:00,2017,January,20,17,Friday,469
2017-01-20 18:00:00,2017,January,20,18,Friday,470
2017-01-20 19:00:00,2017,January,20,19,Friday,471
2017-01-20 20:00:00,2017,January,20,20,Friday,472
2017-01-20 21:00:00,2017,January,20,21,Friday,473
2017-01-20 22:00:00,2017,January,20,22,Friday,474
2017-01-20 23:00:00,2017,January,20,23,Friday,475
2017-01-21 00:00:00,2017,January,21,0,Saturday,476
2017-01-21 01:00:00,2017,January,21,1,Saturday,477
2017-01-21 02:00:00,2017,January,21,2,Saturday,478
2017-01-21 03:00:00,2017,January,21,3,Saturday,479
2017-01-21 04:00:00,2017,January,21,4,Saturday,480
2017-01-21 05:00:00,2017,January,21,5,Saturday,481
