location,street_name,street_number,zipcode,lat,lon,location_id
Sæby Syd,Trafikcenter Sæby Syd,1,9300,57.313053,10.4496415,81
Abildgaard,Hjørringvej,144,9900,57.44702655,10.5062013,82
Sæby,Vestergade,3,9300,57.3342468,10.5150452,83
Intern  Frederikshavn,Danmarksgade,48,9900,57.44110098,10.53667797,84
Frederikshavn,Danmarksgade,48,9900,57.44110098,10.53667797,85
Skagen,Sct. Laurentiivej,36,9990,57.7226197,10.5900563,86
Intern Skagen,Sct. Laurentiivej,36,9990,57.7226197,10.5900563,87
Svendborg,Sankt Nicolai Gade,1,5700,55.0584958,10.6090196,88
Aarhus Lufthavn,Ny Lufthavnsvej,24,8560,56.3078296,10.62682096,89
Nyborg,Vestergade,35,5800,55.31843268,10.78110914,90
Slagelse,Mariendals Alle,29,4200,55.3975167,11.3418399,91
Intern Holbæk,Slotsvolden,7,4300,55.71778893,11.7037582,92
Holbæk,Slotsvolden,7,4300,55.71778893,11.7037582,93
Næstved,Farimagsvej,8,4700,55.23342278,11.76327044,94
Svogerslev,Brønsager,1,4000,55.63356403,12.01786398,95
Roskilde,Københavnsvej,65,4000,55.64185234,12.10602262,96
Intern  Roskilde,Københavnsvej,65,4000,55.64185234,12.10602262,97
Køge,Søndre Alle,1,4600,55.4536692,12.18065009,98
Hillerød Idrætscenter,Milnersvej,39,3400,55.921087,12.298657,99
Hillerød,Københavnsvej,31,3400,55.93325641,12.31363816,100
Lyngby,Jernbanevej,6,2800,55.77184285,12.4999898,101
Frederiksberg,Gammel Kongevej,157,1850,55.67743108,12.53669761,102
Intern  København,Rådhuspladsen,75,1550,55.675885,12.571237,103
København,Regnbuepladsen,5,1550,55.67586483,12.5712962,104
Helsingør,Sct. Olai Gade,39,3000,56.0356359,12.6123242,105
